  phi     lam     h 
------------------------
52.097272219,21.031533333,141.398662390
52.097272162,21.031533144,141.399824519
52.097272121,21.031532956,141.403353812
52.097272086,21.031532767,141.407672158
52.097272087,21.031533228,141.410130360
52.097272120,21.031533178,141.402210934
52.097272070,21.031532998,141.406534095
52.097272062,21.031532806,141.411063286
52.097272120,21.031533254,141.407263369
52.097272136,21.031533178,141.404578100
52.097272102,21.031533322,141.407576659
52.097272154,21.031533183,141.405582811
